date,production_value_no_opec
2020-02-23,50.865295147
2020-02-24,50.865295147
2020-02-25,50.865295147
2020-02-26,50.865295147
2020-02-27,50.865295147
2020-02-28,50.865295147
2020-02-29,50.865295147
2020-03-01,50.848433521
2020-03-02,50.848433521
2020-03-03,50.848433521
2020-03-04,50.848433521
2020-03-05,50.848433521
2020-03-06,50.848433521
2020-03-07,50.848433521
2020-03-08,50.848433521
2020-03-09,50.848433521
2020-03-10,50.848433521
2020-03-11,50.848433521
2020-03-12,50.848433521
2020-03-13,50.848433521
2020-03-14,50.848433521
2020-03-15,50.848433521
2020-03-16,50.848433521
2020-03-17,50.848433521
2020-03-18,50.848433521
2020-03-19,50.848433521
2020-03-20,50.848433521
2020-03-21,50.848433521
2020-03-22,50.848433521
2020-03-23,50.848433521
2020-03-24,50.848433521
2020-03-25,50.848433521
2020-03-26,50.848433521
2020-03-27,50.848433521
2020-03-28,50.848433521
2020-03-29,50.848433521
2020-03-30,50.848433521
2020-03-31,50.848433521
2020-04-01,48.979203749
2020-04-02,48.979203749
2020-04-03,48.979203749
2020-04-04,48.979203749
2020-04-05,48.979203749
2020-04-06,48.979203749
2020-04-07,48.979203749
2020-04-08,48.979203749
2020-04-09,48.979203749
2020-04-10,48.979203749
2020-04-11,48.979203749
2020-04-12,48.979203749
2020-04-13,48.979203749
2020-04-14,48.979203749
2020-04-15,48.979203749
2020-04-16,48.979203749
2020-04-17,48.979203749
2020-04-18,48.979203749
2020-04-19,48.979203749
2020-04-20,48.979203749
2020-04-21,48.979203749
2020-04-22,48.979203749
2020-04-23,48.979203749
2020-04-24,48.979203749
2020-04-25,48.979203749
2020-04-26,48.979203749
2020-04-27,48.979203749
2020-04-28,48.979203749
2020-04-29,48.979203749
2020-04-30,48.979203749
2020-05-01,43.57605122
2020-05-02,43.57605122
2020-05-03,43.57605122
2020-05-04,43.57605122
2020-05-05,43.57605122
2020-05-06,43.57605122
2020-05-07,43.57605122
2020-05-08,43.57605122
2020-05-09,43.57605122
2020-05-10,43.57605122
2020-05-11,43.57605122
2020-05-12,43.57605122
2020-05-13,43.57605122
2020-05-14,43.57605122
2020-05-15,43.57605122
2020-05-16,43.57605122
2020-05-17,43.57605122
2020-05-18,43.57605122
2020-05-19,43.57605122
2020-05-20,43.57605122
2020-05-21,43.57605122
2020-05-22,43.57605122
2020-05-23,43.57605122
2020-05-24,43.57605122
2020-05-25,43.57605122
2020-05-26,43.57605122
2020-05-27,43.57605122
2020-05-28,43.57605122
2020-05-29,43.57605122
2020-05-30,43.57605122
2020-05-31,43.57605122
2020-06-01,44.511050079
2020-06-02,44.511050079
2020-06-03,44.511050079
2020-06-04,44.511050079
2020-06-05,44.511050079
2020-06-06,44.511050079
2020-06-07,44.511050079
2020-06-08,44.511050079
2020-06-09,44.511050079
2020-06-10,44.511050079
2020-06-11,44.511050079
2020-06-12,44.511050079
2020-06-13,44.511050079
2020-06-14,44.511050079
2020-06-15,44.511050079
2020-06-16,44.511050079
2020-06-17,44.511050079
2020-06-18,44.511050079
2020-06-19,44.511050079
2020-06-20,44.511050079
2020-06-21,44.511050079
2020-06-22,44.511050079
2020-06-23,44.511050079
2020-06-24,44.511050079
2020-06-25,44.511050079
2020-06-26,44.511050079
2020-06-27,44.511050079
2020-06-28,44.511050079
2020-06-29,44.511050079
2020-06-30,44.511050079
2020-07-01,45.280383293
2020-07-02,45.280383293
2020-07-03,45.280383293
2020-07-04,45.280383293
2020-07-05,45.280383293
2020-07-06,45.280383293
2020-07-07,45.280383293
2020-07-08,45.280383293
2020-07-09,45.280383293
2020-07-10,45.280383293
2020-07-11,45.280383293
2020-07-12,45.280383293
2020-07-13,45.280383293
2020-07-14,45.280383293
2020-07-15,45.280383293
2020-07-16,45.280383293
2020-07-17,45.280383293
2020-07-18,45.280383293
2020-07-19,45.280383293
2020-07-20,45.280383293
2020-07-21,45.280383293
2020-07-22,45.280383293
2020-07-23,45.280383293
2020-07-24,45.280383293
2020-07-25,45.280383293
2020-07-26,45.280383293
2020-07-27,45.280383293
2020-07-28,45.280383293
2020-07-29,45.280383293
2020-07-30,45.280383293
2020-07-31,45.280383293
2020-08-01,45.293247104
2020-08-02,45.293247104
2020-08-03,45.293247104
2020-08-04,45.293247104
2020-08-05,45.293247104
2020-08-06,45.293247104
2020-08-07,45.293247104
2020-08-08,45.293247104
2020-08-09,45.293247104
2020-08-10,45.293247104
2020-08-11,45.293247104
2020-08-12,45.293247104
2020-08-13,45.293247104
2020-08-14,45.293247104
2020-08-15,45.293247104
2020-08-16,45.293247104
2020-08-17,45.293247104
2020-08-18,45.293247104
2020-08-19,45.293247104
2020-08-20,45.293247104
2020-08-21,45.293247104
2020-08-22,45.293247104
2020-08-23,45.293247104
2020-08-24,45.293247104
2020-08-25,45.293247104
2020-08-26,45.293247104
2020-08-27,45.293247104
2020-08-28,45.293247104
2020-08-29,45.293247104
2020-08-30,45.293247104
2020-08-31,45.293247104
2020-09-01,45.333266563
2020-09-02,45.333266563
2020-09-03,45.333266563
2020-09-04,45.333266563
2020-09-05,45.333266563
2020-09-06,45.333266563
2020-09-07,45.333266563
2020-09-08,45.333266563
2020-09-09,45.333266563
2020-09-10,45.333266563
2020-09-11,45.333266563
2020-09-12,45.333266563
2020-09-13,45.333266563
2020-09-14,45.333266563
2020-09-15,45.333266563
2020-09-16,45.333266563
2020-09-17,45.333266563
2020-09-18,45.333266563
2020-09-19,45.333266563
2020-09-20,45.333266563
2020-09-21,45.333266563
2020-09-22,45.333266563
2020-09-23,45.333266563
2020-09-24,45.333266563
2020-09-25,45.333266563
2020-09-26,45.333266563
2020-09-27,45.333266563
2020-09-28,45.333266563
2020-09-29,45.333266563
2020-09-30,45.333266563
2020-10-01,45.267334734
2020-10-02,45.267334734
2020-10-03,45.267334734
2020-10-04,45.267334734
2020-10-05,45.267334734
2020-10-06,45.267334734
2020-10-07,45.267334734
2020-10-08,45.267334734
2020-10-09,45.267334734
2020-10-10,45.267334734
2020-10-11,45.267334734
2020-10-12,45.267334734
2020-10-13,45.267334734
2020-10-14,45.267334734
2020-10-15,45.267334734
2020-10-16,45.267334734
2020-10-17,45.267334734
2020-10-18,45.267334734
2020-10-19,45.267334734
2020-10-20,45.267334734
2020-10-21,45.267334734
2020-10-22,45.267334734
2020-10-23,45.267334734
2020-10-24,45.267334734
2020-10-25,45.267334734
2020-10-26,45.267334734
2020-10-27,45.267334734
2020-10-28,45.267334734
2020-10-29,45.267334734
2020-10-30,45.267334734
2020-10-31,45.267334734
2020-11-01,46.322468872
2020-11-02,46.322468872
2020-11-03,46.322468872
2020-11-04,46.322468872
2020-11-05,46.322468872
2020-11-06,46.322468872
2020-11-07,46.322468872
2020-11-08,46.322468872
2020-11-09,46.322468872
2020-11-10,46.322468872
2020-11-11,46.322468872
2020-11-12,46.322468872
2020-11-13,46.322468872
2020-11-14,46.322468872
2020-11-15,46.322468872
2020-11-16,46.322468872
2020-11-17,46.322468872
2020-11-18,46.322468872
2020-11-19,46.322468872
2020-11-20,46.322468872
2020-11-21,46.322468872
2020-11-22,46.322468872
2020-11-23,46.322468872
2020-11-24,46.322468872
2020-11-25,46.322468872
2020-11-26,46.322468872
2020-11-27,46.322468872
2020-11-28,46.322468872
2020-11-29,46.322468872
2020-11-30,46.322468872
2020-12-01,46.809684279
2020-12-02,46.809684279
2020-12-03,46.809684279
2020-12-04,46.809684279
2020-12-05,46.809684279
2020-12-06,46.809684279
2020-12-07,46.809684279
2020-12-08,46.809684279
2020-12-09,46.809684279
2020-12-10,46.809684279
2020-12-11,46.809684279
2020-12-12,46.809684279
2020-12-13,46.809684279
2020-12-14,46.809684279
2020-12-15,46.809684279
2020-12-16,46.809684279
2020-12-17,46.809684279
2020-12-18,46.809684279
2020-12-19,46.809684279
2020-12-20,46.809684279
2020-12-21,46.809684279
2020-12-22,46.809684279
2020-12-23,46.809684279
2020-12-24,46.809684279
2020-12-25,46.809684279
2020-12-26,46.809684279
2020-12-27,46.809684279
2020-12-28,46.809684279
2020-12-29,46.809684279
2020-12-30,46.809684279
2020-12-31,46.809684279
2021-01-01,46.856902978
2021-01-02,46.856902978
2021-01-03,46.856902978
2021-01-04,46.856902978
2021-01-05,46.856902978
2021-01-06,46.856902978
2021-01-07,46.856902978
2021-01-08,46.856902978
2021-01-09,46.856902978
2021-01-10,46.856902978
2021-01-11,46.856902978
2021-01-12,46.856902978
2021-01-13,46.856902978
2021-01-14,46.856902978
2021-01-15,46.856902978
2021-01-16,46.856902978
2021-01-17,46.856902978
2021-01-18,46.856902978
2021-01-19,46.856902978
2021-01-20,46.856902978
2021-01-21,46.856902978
2021-01-22,46.856902978
2021-01-23,46.856902978
2021-01-24,46.856902978
2021-01-25,46.856902978
2021-01-26,46.856902978
2021-01-27,46.856902978
2021-01-28,46.856902978
2021-01-29,46.856902978
2021-01-30,46.856902978
2021-01-31,46.856902978
2021-02-01,45.432073288
2021-02-02,45.432073288
2021-02-03,45.432073288
2021-02-04,45.432073288
2021-02-05,45.432073288
2021-02-06,45.432073288
2021-02-07,45.432073288
2021-02-08,45.432073288
2021-02-09,45.432073288
2021-02-10,45.432073288
2021-02-11,45.432073288
2021-02-12,45.432073288
2021-02-13,45.432073288
2021-02-14,45.432073288
2021-02-15,45.432073288
2021-02-16,45.432073288
2021-02-17,45.432073288
2021-02-18,45.432073288
2021-02-19,45.432073288
2021-02-20,45.432073288
2021-02-21,45.432073288
2021-02-22,45.432073288
2021-02-23,45.432073288
2021-02-24,45.432073288
2021-02-25,45.432073288
2021-02-26,45.432073288
2021-02-27,45.432073288
2021-02-28,45.432073288
2021-03-01,47.209291802
2021-03-02,47.209291802
2021-03-03,47.209291802
2021-03-04,47.209291802
2021-03-05,47.209291802
2021-03-06,47.209291802
2021-03-07,47.209291802
2021-03-08,47.209291802
2021-03-09,47.209291802
2021-03-10,47.209291802
2021-03-11,47.209291802
2021-03-12,47.209291802
2021-03-13,47.209291802
2021-03-14,47.209291802
2021-03-15,47.209291802
2021-03-16,47.209291802
2021-03-17,47.209291802
2021-03-18,47.209291802
2021-03-19,47.209291802
2021-03-20,47.209291802
2021-03-21,47.209291802
2021-03-22,47.209291802
2021-03-23,47.209291802
2021-03-24,47.209291802
2021-03-25,47.209291802
2021-03-26,47.209291802
2021-03-27,47.209291802
2021-03-28,47.209291802
2021-03-29,47.209291802
2021-03-30,47.209291802
2021-03-31,47.209291802
2021-04-01,46.778789649
2021-04-02,46.778789649
2021-04-03,46.778789649
2021-04-04,46.778789649
2021-04-05,46.778789649
2021-04-06,46.778789649
2021-04-07,46.778789649
2021-04-08,46.778789649
2021-04-09,46.778789649
2021-04-10,46.778789649
2021-04-11,46.778789649
2021-04-12,46.778789649
2021-04-13,46.778789649
2021-04-14,46.778789649
2021-04-15,46.778789649
2021-04-16,46.778789649
2021-04-17,46.778789649
2021-04-18,46.778789649
2021-04-19,46.778789649
2021-04-20,46.778789649
2021-04-21,46.778789649
2021-04-22,46.778789649
2021-04-23,46.778789649
2021-04-24,46.778789649
2021-04-25,46.778789649
2021-04-26,46.778789649
2021-04-27,46.778789649
2021-04-28,46.778789649
2021-04-29,46.778789649
2021-04-30,46.778789649
2021-05-01,46.781057302
2021-05-02,46.781057302
2021-05-03,46.781057302
2021-05-04,46.781057302
2021-05-05,46.781057302
2021-05-06,46.781057302
2021-05-07,46.781057302
2021-05-08,46.781057302
2021-05-09,46.781057302
2021-05-10,46.781057302
2021-05-11,46.781057302
2021-05-12,46.781057302
2021-05-13,46.781057302
2021-05-14,46.781057302
2021-05-15,46.781057302
2021-05-16,46.781057302
2021-05-17,46.781057302
2021-05-18,46.781057302
2021-05-19,46.781057302
2021-05-20,46.781057302
2021-05-21,46.781057302
2021-05-22,46.781057302
2021-05-23,46.781057302
2021-05-24,46.781057302
2021-05-25,46.781057302
2021-05-26,46.781057302
2021-05-27,46.781057302
2021-05-28,46.781057302
2021-05-29,46.781057302
2021-05-30,46.781057302
2021-05-31,46.781057302
2021-06-01,46.793881647
2021-06-02,46.793881647
2021-06-03,46.793881647
2021-06-04,46.793881647
2021-06-05,46.793881647
2021-06-06,46.793881647
2021-06-07,46.793881647
2021-06-08,46.793881647
2021-06-09,46.793881647
2021-06-10,46.793881647
2021-06-11,46.793881647
2021-06-12,46.793881647
2021-06-13,46.793881647
2021-06-14,46.793881647
2021-06-15,46.793881647
2021-06-16,46.793881647
2021-06-17,46.793881647
2021-06-18,46.793881647
2021-06-19,46.793881647
2021-06-20,46.793881647
2021-06-21,46.793881647
2021-06-22,46.793881647
2021-06-23,46.793881647
2021-06-24,46.793881647
2021-06-25,46.793881647
2021-06-26,46.793881647
2021-06-27,46.793881647
2021-06-28,46.793881647
2021-06-29,46.793881647
2021-06-30,46.793881647
2021-07-01,47.380766841
2021-07-02,47.380766841
2021-07-03,47.380766841
2021-07-04,47.380766841
2021-07-05,47.380766841
2021-07-06,47.380766841
2021-07-07,47.380766841
2021-07-08,47.380766841
2021-07-09,47.380766841
2021-07-10,47.380766841
2021-07-11,47.380766841
2021-07-12,47.380766841
2021-07-13,47.380766841
2021-07-14,47.380766841
2021-07-15,47.380766841
2021-07-16,47.380766841
2021-07-17,47.380766841
2021-07-18,47.380766841
2021-07-19,47.380766841
2021-07-20,47.380766841
2021-07-21,47.380766841
2021-07-22,47.380766841
2021-07-23,47.380766841
2021-07-24,47.380766841
2021-07-25,47.380766841
2021-07-26,47.380766841
2021-07-27,47.380766841
2021-07-28,47.380766841
2021-07-29,47.380766841
2021-07-30,47.380766841
2021-07-31,47.380766841
2021-08-01,47.055730794
2021-08-02,47.055730794
2021-08-03,47.055730794
2021-08-04,47.055730794
2021-08-05,47.055730794
2021-08-06,47.055730794
2021-08-07,47.055730794
2021-08-08,47.055730794
2021-08-09,47.055730794
2021-08-10,47.055730794
2021-08-11,47.055730794
2021-08-12,47.055730794
2021-08-13,47.055730794
2021-08-14,47.055730794
2021-08-15,47.055730794
2021-08-16,47.055730794
2021-08-17,47.055730794
2021-08-18,47.055730794
2021-08-19,47.055730794
2021-08-20,47.055730794
2021-08-21,47.055730794
2021-08-22,47.055730794
2021-08-23,47.055730794
2021-08-24,47.055730794
2021-08-25,47.055730794
2021-08-26,47.055730794
2021-08-27,47.055730794
2021-08-28,47.055730794
2021-08-29,47.055730794
2021-08-30,47.055730794
2021-08-31,47.055730794
2021-09-01,46.983187288
2021-09-02,46.983187288
2021-09-03,46.983187288
2021-09-04,46.983187288
2021-09-05,46.983187288
2021-09-06,46.983187288
2021-09-07,46.983187288
2021-09-08,46.983187288
2021-09-09,46.983187288
2021-09-10,46.983187288
2021-09-11,46.983187288
2021-09-12,46.983187288
2021-09-13,46.983187288
2021-09-14,46.983187288
2021-09-15,46.983187288
2021-09-16,46.983187288
2021-09-17,46.983187288
2021-09-18,46.983187288
2021-09-19,46.983187288
2021-09-20,46.983187288
2021-09-21,46.983187288
2021-09-22,46.983187288
2021-09-23,46.983187288
2021-09-24,46.983187288
2021-09-25,46.983187288
2021-09-26,46.983187288
2021-09-27,46.983187288
2021-09-28,46.983187288
2021-09-29,46.983187288
2021-09-30,46.983187288
2021-10-01,47.929105173
2021-10-02,47.929105173
2021-10-03,47.929105173
2021-10-04,47.929105173
2021-10-05,47.929105173
2021-10-06,47.929105173
2021-10-07,47.929105173
2021-10-08,47.929105173
2021-10-09,47.929105173
2021-10-10,47.929105173
2021-10-11,47.929105173
